Author	n (strains)	publication title	journal	publication URL	strains
Jaqueline Goes de Jesus et al	2	unknown	unknown	unknown	Brazil/SPBR-02/2020,Brazil/SPBR-01/2020
Carr et al	11	unknown	unknown	unknown	Ireland/24042/2020,Ireland/22901/2020,Ireland/Dublin-22361/2020,Ireland/21023/2020,Ireland/Dublin-19072/2020,Ireland/21145/2020,Ireland/Dublin-22428/2020,Ireland/24052/2020,Ireland/Limerick-19934/2020,Ireland/Limerick-19935/2020,Ireland/Limerick-19933/2020
Bas Oude Munnink et al	38	unknown	unknown	unknown	Netherlands/NA_297/2020,Netherlands/NA_318/2020,Netherlands/NA_295/2020,Netherlands/NA_294/2020,Netherlands/NA_298/2020,Netherlands/NA_166/2020,Netherlands/NA_313/2020,Netherlands/NA_138/2020,Netherlands/NA_310/2020,Netherlands/ZuidHolland_60/2020,Netherlands/NA_314/2020,Netherlands/NA_153/2020,Netherlands/NA_308/2020,Netherlands/NA_296/2020,Netherlands/NA_307/2020,Netherlands/NA_302/2020,Netherlands/NA_317/2020,Netherlands/ZuidHolland_100/2020,Netherlands/NA_303/2020,Netherlands/ZuidHolland_55/2020,Netherlands/NA_224/2020,Netherlands/NA_305/2020,Netherlands/NA_315/2020,Netherlands/NA_301/2020,Netherlands/NA_235/2020,Netherlands/NA_212/2020,Netherlands/NA_291/2020,Netherlands/NA_244/2020,Netherlands/NA_96/2020,Netherlands/Friesland_10/2020,Netherlands/NA_254/2020,Netherlands/NA_311/2020,Netherlands/ZuidHolland_104/2020,Netherlands/NA_99/2020,Netherlands/NA_110/2020,Netherlands/NA_264/2020,Netherlands/Friesland_3/2020,Netherlands/NA_300/2020
Resende et al	2	unknown	unknown	unknown	Brazil/ES-225/2020,Brazil/RJ-314/2020
Meredith et al	5	unknown	unknown	unknown	England/CAMB-73A19/2020,England/CAMB-73A0A/2020,England/CAMB-76F9F/2020,England/CAMB-73A28/2020,England/CAMB-7381F/2020
Moore et al	14	unknown	unknown	unknown	Wales/PHWC-2516C/2020,Wales/PHW07/2020,Wales/PHW25/2020,Wales/PHWC-23B06/2020,Wales/PHWC-25506/2020,Wales/PHWC-23DE2/2020,Wales/PHWC-254FA/2020,Wales/PHWC-26B4F/2020,Wales/PHWC-23B60/2020,Wales/PHW1/2020,Wales/PHW17/2020,Wales/PHWC-23D4C/2020,Wales/PHWC-23BD9/2020,Wales/PHWC-23BE8/2020
Costa et al	1	unknown	unknown	unknown	Portugal/IGC00009/2020
Silamikelis et al	9	unknown	unknown	unknown	Latvia/0002/2020,Latvia/0004/2020,Latvia/0003/2020,Latvia/0007/2020,Latvia/0006/2020,Latvia/0001/2020,Latvia/0008/2020,Latvia/0009/2020,Latvia/0005/2020
Pilailuk et al	2	unknown	unknown	unknown	Nonthaburi/61/2020,Nonthaburi/74/2020
Cao et al	1	unknown	unknown	unknown	Vietnam/19-01S/2020
