Author	n (strains)	publication title	journal	publication URL	strains
Navarro et al	2	unknown	unknown	unknown	Spain/Valencia54/2020,Spain/Valencia49/2020
Castillo et al	4	unknown	unknown	unknown	Chile/Santiago-1/2020,Chile/Talca-1/2020,Chile/Talca-2/2020,Chile/Santiago-2/2020
Guiomar et al et al	20	unknown	unknown	unknown	Portugal/PT0042/2020,Portugal/PT0064/2020,Portugal/PT0063/2020,Portugal/PT0040/2020,Portugal/PT0020/2020,Portugal/PT0015/2020,Portugal/PT0008/2020,Portugal/PT0083/2020,Portugal/PT0045/2020,Portugal/PT0060/2020,Portugal/PT0067/2020,Portugal/PT0092/2020,Portugal/PT0089/2020,Portugal/PT0088/2020,Portugal/PT0021/2020,Portugal/PT0044/2020,Portugal/PT0013/2020,Portugal/PT0014/2020,Portugal/PT0012/2020,Portugal/PT0018/2020
Bampali et al	3	unknown	unknown	unknown	Greece/16/2020,Greece/10/2020,Greece/12/2020
Romero et al	8	unknown	unknown	unknown	Brazil/RJ0113/2020,Brazil/MG0102/2020,Brazil/MG0108/2020,Brazil/RJ0118/2020,Brazil/RJ0116/2020,Brazil/SP0105/2020,Brazil/SP0104/2020,Brazil/RS0107/2020
Maria Dolores Ocete et al	1	unknown	unknown	unknown	Spain/Valencia5/2020
Gimeno et al	1	unknown	unknown	unknown	Spain/Valencia39/2020
Mariana Reyes-Prieto et al	1	unknown	unknown	unknown	Spain/Valencia35/2020
Inma Galan Vendrell et al	2	unknown	unknown	unknown	Spain/Valencia33/2020,Spain/Valencia61/2020
Carbo et al	1	unknown	unknown	unknown	Spain/Valencia62/2020
Paula Ruiz-Hueso et al	1	unknown	unknown	unknown	Spain/Valencia34/2020
Batty et al	5	unknown	unknown	unknown	Thailand/Bangkok-CONI-0019/2020,Thailand/Bangkok-CONI-0022/2020,Thailand/Bangkok-CONI-0017/2020,Thailand/Bangkok-CONI-0021/2020,Thailand/Bangkok-CONI-0020/2020
Vanmechelen et al	5	unknown	unknown	unknown	Belgium/GHB-03021/2020,Belgium/HAA-030953/2020,Belgium/BA-02291/2020,Belgium/NKR-030645/2020,Belgium/VDLH-030548/2020
Marcela Mercado-Reyes et al	2	unknown	unknown	unknown	Colombia/Antioquia79256/2020,Colombia/Bogota78390/2020
Adams et al	25	unknown	unknown	unknown	Germany/NRW-39/2020,Germany/NRW-46/2020,Germany/NRW-35/2020,Germany/NRW-15/2020,Germany/NRW-31/2020,Germany/NRW-09/2020,Germany/NRW-10/2020,Germany/NRW-50/2020,Germany/NRW-04/2020,Germany/NRW-07/2020,Germany/NRW-01/2020,Germany/NRW-08/2020,Germany/NRW-06/2020,Germany/NRW-03/2020,Germany/NRW-05/2020,Germany/NRW-02-1/2020,Germany/NRW-41/2020,Germany/NRW-19/2020,Germany/NRW-22/2020,Germany/NRW-23/2020,Germany/NRW-20/2020,Germany/NRW-33/2020,Germany/NRW-36/2020,Germany/NRW-34/2020,Germany/NRW-51/2020
Irma Lopez Martinez et al	1	unknown	unknown	unknown	Mexico/EdoMex-InDRE_03/2020
Gisela Barrera Badillo et al	1	unknown	unknown	unknown	Mexico/Queretaro-InDRE_04/2020
Rockett et al	4	unknown	unknown	unknown	Australia/NSW02/2020,Australia/NSW09/2020,Australia/NSW08/2020,Australia/NSW10/2020
Paden et al	1	unknown	unknown	unknown	USA/MA1/2020
Boese et al	1	unknown	unknown	unknown	Canada/ON-VIDO-01/2020
Eshaghi et al	10	unknown	unknown	unknown	Canada/ON-PHL2445/2020,Canada/ON_PHL4181/2020,Canada/ON_PHL3459/2020,Canada/ON_PHL0141/2020,Canada/ON_PHL5472/2020,Canada/ON_PHL6922/2020,Canada/ON_PHL0977/2020,Canada/ON_PHL8751/2020,Canada/ON_PHL3650/2020,Canada/ON_PHL4088/2020
Bengner et al	1	unknown	unknown	unknown	Sweden/01/2020
